 ,Mean1,Mean2,Mean3,Mean4
395,2897.417,4028.150,4023.572,3699.500
396,2926.708,4046.600,4018.976,3700.409
397,2913.250,4035.750,4005.000,3700.295
398,2903.333,4068.750,4033.476,3699.114
399,2910.542,4042.550,4014.428,3731.477
400,2902.458,4031.950,4006.357,3706.273
401,2898.729,4068.850,4018.572,3704.977
402,2901.604,4060.300,4020.262,3723.909
403,2900.083,4067.250,4018.381,3700.568
404,2901.292,4023.500,4008.905,3696.682
405,2894.021,4071.700,4024.762,3714.614
406,2900.604,4053.400,4036.048,3709.886
407,2892.521,4041.100,4016.500,3713.000
408,2907.104,4082.450,4038.548,3694.977
409,2899.354,4064.900,4008.786,3707.091
410,2896.917,4024.950,4010.167,3710.886
411,2883.479,4024.300,4010.548,3712.023
412,2886.146,4045.450,4023.024,3692.295
413,2899.979,4049.900,4014.786,3691.409
414,2879.167,3999.350,4021.167,3707.250
415,2902.354,4059.350,4013.905,3704.955
416,2894.979,4020.400,4016.572,3711.795
417,2891.542,4035.250,4034.881,3703.750
418,2874.354,4034.650,3999.428,3693.909
419,2905.083,4054.500,4011.667,3698.386
420,2913.042,4038.700,4024.881,3699.205
421,2889.938,4054.700,4024.333,3712.477
422,2896.688,4074.850,3991.738,3715.909
423,2899.312,4038.000,4009.905,3695.523
424,2910.312,4054.100,4002.928,3710.909
425,2909.458,4061.200,4022.000,3677.591
426,2905.292,4048.550,4008.572,3697.295
427,2910.458,4062.600,4010.548,3704.500
428,2913.333,4046.600,4008.405,3693.023
429,2936.021,4060.500,4035.286,3695.409
430,2923.333,4045.550,4018.738,3708.273
431,2920.458,4031.650,4024.167,3709.205
432,2933.417,4068.250,4032.595,3737.091
433,2950.167,4050.800,4004.167,3785.977
434,2966.667,4049.050,4013.714,3818.568
435,2970.875,4029.550,4006.048,3826.886
436,3009.479,4058.150,4031.952,3810.205
437,3015.917,4057.550,4019.857,3808.886
438,3035.417,4062.550,4047.167,3808.159
439,3028.479,4047.750,4031.619,3820.682
440,3021.771,4046.300,4030.333,3799.386
441,3037.292,4058.950,4022.833,3793.977
442,3021.729,4055.050,4001.428,3775.659
443,3020.729,4021.850,4035.976,3793.886
444,3024.542,4067.350,4021.548,3785.364
445,3023.438,4053.600,4018.952,3778.159
446,3009.042,4076.500,4030.000,3779.364
447,3015.562,4057.900,4026.286,3773.318
448,3000.229,4068.300,4007.476,3761.136
449,3015.938,4062.650,4021.905,3778.227
450,3001.167,4056.400,4027.833,3754.932
451,2994.917,4079.650,4035.333,3771.773
452,2987.292,4037.800,4021.072,3759.932
453,3001.875,4039.100,4023.190,3752.182
454,2982.833,4033.850,4020.619,3755.455
455,2985.375,4079.200,4007.928,3762.045
456,2993.146,4057.450,4020.905,3757.477
457,2984.417,4034.250,4013.572,3738.568
458,2973.958,4044.450,4013.810,3745.727
459,2983.125,4031.400,3988.500,3739.023
460,2972.917,4083.550,4028.714,3732.114
461,2973.104,4072.300,4021.476,3712.591
462,2961.792,4040.350,4016.690,3723.818
463,2977.938,4061.750,4007.762,3738.841
464,2971.708,4046.500,4023.690,3728.864
465,2967.521,4061.400,4005.500,3728.591
466,2972.188,4049.300,4019.072,3712.136
467,2968.021,4081.150,4004.690,3731.068
468,2980.292,4055.950,4010.714,3707.045
469,2978.646,4062.100,4019.310,3725.136
470,2958.438,4061.550,4001.857,3746.182
471,2965.958,4051.800,4010.428,3733.023
472,2948.875,4050.500,4026.190,3730.955
473,2955.729,4043.400,3999.928,3707.409
474,2972.979,4058.900,4006.286,3712.614
475,2959.500,4068.400,4032.262,3738.386
476,2953.104,4035.700,4020.381,3728.159
477,2971.042,4053.150,4009.905,3741.295
478,2961.458,4019.350,4026.024,3708.409
479,2959.146,4053.300,4003.786,3713.659
480,2943.583,4022.200,4011.095,3740.136
481,2936.417,4079.850,4004.452,3711.136
482,2937.521,4026.050,4028.762,3708.773
483,2942.271,4054.850,4016.714,3720.614
484,2934.500,4081.250,4034.333,3712.477
485,2931.792,4051.050,4003.476,3713.841
486,2946.979,4060.900,4025.500,3728.864
487,2946.792,4043.550,4007.238,3701.818
488,2936.208,4008.700,4005.095,3718.136
489,2940.979,4015.850,4011.143,3722.114
490,2935.062,4069.200,4031.119,3715.227
491,2929.979,4067.500,4005.262,3702.432
492,2921.208,4022.300,3997.762,3686.182
493,2929.604,4046.900,4020.286,3715.068
494,2924.583,4015.650,4007.095,3696.250
495,2922.271,4043.250,4008.595,3712.705
496,2922.792,4027.200,4000.333,3708.909
497,2916.292,4006.350,4007.048,3710.591
