 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14
154,9025.182,6437.111,7926.273,10090.914,7610.500,6972.864,6688.000,6686.875,6481.000,10968.400,6378.048,6001.714,5591.562,6356.875
155,9050.818,6526.000,8005.091,10122.086,7676.615,6957.409,6680.250,6645.375,6505.500,10953.600,6364.714,5949.905,5559.812,6339.125
156,9008.454,6475.000,7970.000,10127.534,7663.885,6999.273,6779.750,6640.500,6443.000,11149.800,6428.286,5972.571,5569.438,6337.250
157,8952.000,6531.889,8000.727,10101.966,7657.577,6958.068,6858.500,6675.125,6556.000,11150.300,6481.095,5952.238,5558.844,6313.500
158,8931.909,6501.000,7976.455,10088.604,7718.846,6946.386,6814.250,6657.500,6601.500,11159.700,6492.048,5991.333,5552.188,6429.250
159,8980.363,6529.889,7989.000,10102.827,7743.461,6898.955,6797.250,6692.125,6657.500,11132.700,6474.857,6047.905,5553.719,6371.000
160,8969.091,6606.000,8075.182,10112.534,7713.192,6956.977,6959.750,6696.375,6543.000,11240.300,6457.571,5956.857,5578.125,6327.250
161,8937.818,6609.333,8083.909,10101.689,7695.308,6934.977,6900.750,6586.500,6789.000,11251.100,6510.238,5983.714,5571.375,6332.000
162,8991.546,6501.444,8124.727,10108.327,7691.115,6947.568,6937.750,6633.125,6564.000,11172.300,6528.524,6015.667,5583.344,6312.625
163,9012.091,6561.556,8189.091,10123.069,7751.500,6921.636,6961.500,6615.875,6533.500,11256.200,6496.524,6048.000,5580.031,6355.125
164,8911.909,6585.556,8176.545,10109.811,7740.769,6941.795,6876.500,6563.000,6570.000,11263.900,6559.190,6043.810,5554.031,6355.250
165,8911.363,6601.000,8148.364,10092.034,7707.769,6909.545,6945.250,6623.500,6589.000,11419.700,6563.476,6025.095,5562.156,6344.875
166,8955.454,6596.222,8182.000,10081.827,7733.308,6923.591,6780.000,6600.750,6566.000,11276.100,6585.952,6059.857,5561.094,6351.500
167,8907.637,6530.000,8200.000,10086.569,7805.961,6941.977,6968.000,6599.000,6531.500,11329.800,6610.095,6051.476,5555.875,6414.125
168,8879.000,6634.889,8193.000,10059.052,7752.885,6910.045,6883.000,6597.000,6585.500,11382.000,6620.143,6074.810,5568.094,6413.250
169,8933.818,6563.000,8200.182,10100.586,7776.077,6927.045,7034.750,6558.750,6448.000,11390.300,6590.619,6025.524,5594.344,6433.875
170,8942.546,6596.667,8202.454,10127.621,7765.000,6919.636,6914.250,6620.375,6565.500,11393.400,6624.524,6038.905,5562.781,6451.125
171,8947.000,6608.222,8193.909,10100.155,7785.654,6898.045,7038.500,6523.500,6611.500,11440.000,6605.048,6031.714,5549.062,6352.750
172,8935.909,6575.556,8268.909,10096.104,7785.000,6915.295,7042.000,6532.625,6715.500,11439.700,6627.286,6119.238,5528.844,6380.000
173,8861.363,6577.111,8268.909,10077.638,7816.077,6934.477,6994.250,6570.875,6419.500,11424.800,6609.667,6045.000,5561.219,6379.250
174,8937.182,6639.889,8207.637,10115.121,7780.039,6906.114,6913.000,6466.375,6580.500,11546.600,6712.190,6077.476,5539.969,6386.625
175,8941.000,6551.889,8264.546,10064.966,7786.039,6930.955,6904.000,6569.625,6633.000,11584.100,6600.381,6129.429,5561.469,6362.375
176,8920.272,6605.778,8272.818,10071.948,7834.039,6913.659,6972.500,6517.375,6624.500,11510.100,6650.381,6132.381,5521.656,6380.625
177,8912.909,6576.778,8329.272,10083.086,7839.346,6944.091,7053.000,6490.375,6846.500,11545.700,6638.333,6118.619,5521.469,6388.875
178,8865.818,6583.444,8248.728,10087.018,7789.923,6911.364,6910.000,6428.875,6614.500,11599.200,6657.143,6116.952,5535.750,6420.625
179,8905.182,6579.333,8258.363,10061.155,7834.769,6904.568,7042.250,6506.750,6646.500,11550.300,6666.952,6117.524,5541.719,6392.000
180,8849.454,6592.000,8266.000,10055.621,7824.577,6904.545,6968.000,6488.750,6653.000,11720.500,6677.905,6123.714,5527.219,6359.000
181,8895.637,6513.111,8274.728,10090.466,7870.231,6897.864,6971.250,6471.125,6764.000,11553.200,6675.143,6175.286,5529.781,6442.500
182,8824.637,6642.667,8287.637,10075.155,7813.885,6896.159,7008.250,6504.250,6711.000,11584.500,6679.952,6166.905,5542.750,6462.500
183,8836.091,6611.444,8234.909,10057.259,7837.923,6894.818,6962.750,6397.875,6498.500,11646.000,6690.905,6168.571,5494.188,6424.750
184,8853.637,6644.000,8343.000,10025.275,7847.731,6892.591,6949.250,6465.625,6762.000,11600.000,6664.619,6159.571,5554.188,6395.125
185,8923.637,6546.889,8303.000,10043.052,7834.077,6879.545,6973.500,6479.000,6618.500,11751.700,6671.190,6133.048,5514.750,6447.750
186,8869.546,6601.333,8260.728,10023.673,7874.269,6873.159,6968.750,6432.875,6504.500,11684.600,6676.333,6146.381,5515.000,6379.500
187,8837.000,6615.778,8289.637,10013.982,7882.731,6874.409,7121.000,6435.125,6598.000,11565.000,6694.429,6154.333,5528.438,6444.875
188,8801.818,6637.667,8364.272,10052.845,7854.692,6890.114,7085.750,6409.125,6554.000,11560.800,6701.190,6193.905,5555.719,6350.250
189,8820.728,6618.667,8221.546,10017.811,7855.308,6887.864,6987.750,6407.000,6595.500,11690.800,6716.286,6216.000,5521.281,6436.375
190,8871.637,6661.444,8256.728,9990.811,7861.192,6881.205,6893.000,6439.750,6689.000,11621.300,6705.190,6219.667,5502.312,6422.750
