 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
157,5184.807,4578.944,5042.639,5357.885,4908.031,5524.941,5430.266,5760.450,6446.362,5911.364,5480.647,6055.466,5526.500,5440.650,4881.523,4312.287
158,5180.307,4585.944,4987.056,5406.846,4935.656,5513.876,5432.874,5798.825,6461.766,5931.864,5447.235,6034.636,5548.906,5443.150,4871.430,4312.252
159,5179.341,4572.167,5013.972,5402.577,4939.734,5520.817,5425.722,5793.737,6433.170,5919.886,5443.338,6049.705,5542.312,5431.000,4871.744,4294.009
160,5182.114,4580.028,5032.444,5394.923,4944.969,5526.913,5451.557,5817.825,6426.000,5899.091,5388.176,6042.705,5512.062,5455.725,4875.140,4312.374
161,5183.375,4562.444,5008.833,5397.692,4964.031,5502.905,5433.126,5802.038,6452.575,5943.068,5360.559,6001.386,5532.094,5460.062,4856.604,4305.217
162,5188.852,4579.250,4979.000,5395.539,4947.938,5481.270,5425.557,5848.125,6425.809,5925.545,5321.500,6013.057,5527.875,5439.875,4857.826,4311.287
163,5175.648,4560.194,5010.250,5390.192,4937.328,5498.555,5448.532,5837.975,6398.170,5909.250,5283.324,6068.886,5530.750,5443.788,4860.604,4297.835
164,5169.330,4577.222,5032.667,5349.385,4930.906,5509.774,5426.190,5867.525,6439.255,5929.159,5268.059,6075.330,5536.000,5429.950,4860.198,4298.304
165,5173.364,4576.083,5032.556,5360.461,4958.438,5505.241,5422.354,5877.275,6417.766,5929.500,5237.544,6073.670,5518.375,5416.825,4888.221,4311.739
166,5175.352,4580.194,5011.333,5388.615,4927.047,5493.015,5425.101,5875.438,6422.425,5917.000,5238.897,6028.955,5518.969,5420.237,4863.582,4301.982
