 ,Mean1,Mean2,Mean3,Mean4,Mean5
442,5028.297,4607.281,4490.404,4814.781,4513.500
443,5034.919,4593.344,4506.346,4805.969,4481.100
444,5008.595,4598.594,4496.269,4816.281,4501.450
445,5028.352,4605.844,4491.289,4770.656,4475.050
446,4999.000,4551.562,4499.000,4805.125,4418.300
447,5009.567,4585.875,4472.961,4790.188,4459.200
448,5013.567,4589.812,4466.192,4802.219,4498.450
449,4989.622,4592.719,4487.731,4757.969,4462.000
450,4970.135,4554.812,4485.539,4796.938,4443.050
451,4994.919,4573.375,4469.923,4815.906,4471.100
452,5011.324,4574.719,4503.231,4795.531,4452.600
453,4981.838,4594.594,4473.827,4788.562,4486.950
454,4992.757,4601.219,4492.596,4788.125,4488.800
455,4991.838,4586.312,4489.577,4785.562,4451.450
456,4990.081,4557.344,4486.096,4779.500,4471.500
457,5015.838,4563.844,4478.865,4798.656,4496.250
458,5003.946,4581.812,4489.173,4774.094,4470.600
459,4996.271,4563.875,4471.808,4816.594,4463.350
460,4972.622,4560.125,4449.461,4790.312,4461.650
461,4980.352,4546.625,4470.404,4792.000,4472.400
462,4994.405,4566.344,4484.115,4787.906,4480.350
463,4986.784,4546.906,4458.904,4746.094,4462.350
464,4976.919,4553.062,4471.346,4763.125,4474.150
465,5002.919,4554.531,4495.904,4782.781,4489.400
466,4974.811,4556.375,4468.904,4800.625,4467.800
467,4985.648,4565.844,4469.596,4787.406,4455.800
468,4978.271,4561.531,4465.865,4767.656,4454.250
469,4954.081,4512.781,4466.539,4779.719,4467.100
470,4964.000,4533.219,4469.865,4763.000,4455.850
471,4970.378,4544.344,4463.539,4753.938,4463.000
472,4954.919,4523.094,4493.885,4752.719,4463.700
473,4984.216,4509.969,4472.442,4763.500,4468.050
474,4961.054,4535.000,4492.769,4770.344,4473.300
475,4970.757,4528.344,4481.308,4760.719,4480.450
476,4955.216,4522.062,4478.789,4756.719,4468.050
477,4974.973,4512.281,4450.558,4761.656,4447.250
478,4990.541,4508.969,4473.135,4754.656,4488.150
479,4954.973,4482.219,4472.019,4752.719,4481.600
480,4980.865,4507.750,4478.692,4792.156,4463.450
481,4975.784,4481.812,4445.961,4762.969,4443.100
482,4949.189,4467.969,4453.231,4797.062,4481.950
483,4967.757,4501.375,4472.808,4769.031,4430.150
484,4977.081,4480.125,4454.423,4753.844,4449.650
485,4990.243,4471.406,4435.365,4745.156,4468.000
486,4961.216,4475.469,4469.615,4750.000,4457.050
487,4944.567,4470.312,4472.115,4769.281,4479.900
488,4975.135,4479.125,4455.654,4785.250,4464.250
489,4954.486,4461.812,4442.461,4767.812,4462.800
490,4963.352,4482.375,4455.596,4779.094,4443.850
491,4947.081,4467.562,4446.635,4764.062,4439.950
492,4949.648,4470.125,4438.827,4766.406,4482.550
493,4959.838,4457.594,4443.250,4763.688,4482.350
494,4984.433,4436.875,4461.539,4764.875,4442.700
495,4946.243,4478.406,4461.750,4752.844,4475.300
496,4942.892,4426.531,4446.673,4767.719,4505.650
497,4937.811,4473.062,4440.269,4708.750,4476.300
498,4929.757,4455.188,4443.596,4770.219,4472.550
499,4972.135,4442.281,4461.442,4779.812,4453.050
500,4975.081,4412.938,4432.942,4765.031,4454.550
501,4927.459,4433.812,4464.365,4763.938,4450.250
502,4949.027,4435.781,4451.077,4751.844,4467.950
503,4944.892,4408.062,4451.731,4758.375,4471.900
504,4964.189,4403.438,4458.711,4742.062,4447.300
505,4924.027,4425.844,4438.769,4746.562,4476.050
506,4935.811,4413.750,4437.558,4771.688,4448.800
507,4958.729,4410.656,4462.769,4728.031,4448.250
508,4934.459,4385.500,4456.769,4747.156,4460.400
509,4928.108,4413.938,4460.981,4741.656,4437.300
510,4955.757,4383.031,4449.539,4743.000,4440.850
511,4927.000,4430.750,4456.789,4742.812,4484.550
512,4962.297,4387.312,4446.423,4752.781,4449.050
513,4946.135,4368.969,4473.904,4725.094,4462.750
514,4954.541,4386.531,4449.404,4709.125,4472.550
