 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
168,6610.477,4918.558,6255.500,6625.192,5167.100,5634.484,8142.321,5440.050,5435.776,6075.812
169,6608.341,4920.019,6230.176,6630.192,5162.900,5646.709,8157.357,5478.400,5410.741,6031.125
170,6605.341,4931.115,6221.529,6597.308,5120.900,5625.419,8134.250,5409.050,5401.983,6058.656
171,6590.614,4941.231,6209.941,6601.385,5178.950,5609.871,8106.000,5454.650,5410.259,6059.000
172,6610.932,4931.904,6204.176,6599.346,5171.000,5638.742,8112.714,5494.550,5425.414,6053.844
173,6583.068,4906.000,6179.647,6606.615,5186.900,5589.291,8108.536,5448.350,5411.276,6018.438
174,6598.795,4908.539,6204.324,6579.961,5140.450,5620.226,8107.143,5462.150,5404.845,6022.906
175,6592.455,4918.346,6171.176,6572.269,5156.550,5631.484,8108.536,5413.950,5394.483,6031.938
176,6617.227,4927.615,6164.647,6577.346,5167.600,5618.645,8112.036,5427.850,5406.207,6013.125
177,6588.636,4937.961,6184.618,6600.154,5143.700,5614.548,8111.893,5450.850,5395.189,6023.344
178,6582.227,4916.808,6147.147,6587.154,5195.900,5614.516,8114.036,5416.350,5374.707,6005.062
179,6589.273,4900.673,6152.588,6566.769,5153.350,5590.516,8150.750,5439.600,5395.035,6054.562
180,6614.455,4910.769,6162.029,6549.039,5188.850,5610.226,8119.929,5440.600,5382.414,6002.812
181,6570.886,4910.192,6130.353,6528.692,5139.050,5622.516,8065.964,5421.900,5369.052,6007.719
182,6597.205,4884.385,6153.265,6516.346,5149.550,5601.064,8127.821,5402.550,5359.276,6015.500
183,6602.568,4900.269,6143.500,6529.885,5135.500,5618.000,8114.643,5423.250,5370.207,6023.344
184,6594.909,4891.711,6128.500,6530.385,5133.900,5577.226,8088.036,5392.000,5334.707,5981.281
185,6557.932,4876.711,6143.706,6515.000,5147.350,5558.129,8098.714,5440.350,5367.241,6000.812
186,6606.773,4895.635,6089.735,6529.000,5150.750,5604.903,8131.357,5452.000,5369.862,6024.688
187,6595.136,4888.596,6140.471,6488.923,5154.050,5600.291,8074.000,5439.100,5340.345,5966.812
188,6555.932,4915.173,6101.853,6478.231,5149.600,5577.097,8110.750,5415.750,5376.311,5970.312
189,6596.909,4894.731,6080.206,6489.346,5153.300,5563.387,8075.571,5446.700,5368.172,5986.844
190,6578.932,4870.769,6105.118,6473.577,5132.650,5556.742,8064.929,5387.000,5351.138,5961.969
191,6586.591,4901.289,6077.088,6429.692,5165.800,5589.709,8134.786,5459.800,5331.138,5952.406
192,6619.500,4885.789,6058.500,6418.731,5094.900,5566.548,8087.107,5408.900,5319.638,5933.938
193,6593.250,4894.500,6069.588,6433.961,5151.900,5548.193,8095.500,5447.350,5321.138,5941.906
194,6578.409,4904.058,6029.118,6409.808,5104.000,5533.903,8071.321,5431.450,5301.379,5945.938
195,6537.386,4879.077,6053.588,6380.539,5119.350,5541.709,8075.071,5434.500,5308.086,5924.719
196,6580.955,4862.211,6016.088,6393.346,5116.700,5518.742,8085.607,5425.550,5300.828,5925.594
197,6559.045,4899.115,5987.971,6347.346,5149.400,5540.774,8103.286,5427.900,5291.776,5945.625
198,6545.750,4888.654,6001.382,6302.731,5126.400,5507.193,8042.179,5425.050,5302.328,5894.531
199,6541.886,4878.692,5974.000,6313.731,5115.650,5459.129,8045.429,5424.300,5262.259,5856.406
200,6478.773,4857.808,5954.059,6322.154,5081.400,5510.581,8042.107,5390.900,5256.586,5875.312
