 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
109,3639.639,3972.871,3520.800,3246.973,4282.095,3685.125,4391.161,4346.615,4488.219,3802.961
110,3674.861,3992.516,3543.414,3247.838,4298.476,3729.250,4404.032,4361.731,4498.812,3800.885
111,3678.694,4044.387,3552.457,3298.594,4315.905,3731.750,4382.645,4356.461,4495.656,3838.615
112,3711.583,4077.677,3541.357,3392.406,4316.143,3740.438,4379.064,4337.577,4510.031,3889.154
113,3733.139,4133.645,3574.843,3509.135,4321.952,3738.938,4392.709,4351.539,4494.531,3901.154
114,3852.139,4223.774,3598.786,3756.054,4319.714,3736.500,4420.419,4376.846,4516.750,3932.308
115,3960.500,4312.936,3621.543,3992.487,4281.333,3772.562,4424.355,4343.385,4508.750,3982.654
116,4110.722,4434.419,3687.686,4335.703,4335.524,3769.188,4455.129,4349.192,4499.438,4040.923
117,4328.944,4557.484,3742.329,4673.000,4356.286,3846.125,4442.548,4335.539,4513.969,4119.731
118,4528.389,4723.323,3808.700,5003.729,4348.143,3796.562,4449.226,4357.308,4509.750,4191.077
119,4761.500,4887.613,3898.900,5308.027,4363.238,3834.938,4470.645,4375.885,4519.656,4245.308
120,4996.472,5015.516,3965.100,5545.054,4364.952,3851.625,4475.936,4381.808,4517.500,4343.231
121,5201.417,5138.129,4064.529,5780.784,4331.524,3840.875,4486.807,4414.269,4527.125,4449.000
122,5411.667,5222.484,4132.900,5999.595,4374.714,3860.812,4481.709,4425.500,4535.188,4482.577
123,5591.306,5302.936,4169.257,6137.811,4387.286,3881.812,4505.484,4408.231,4519.875,4550.846
124,5755.222,5346.452,4258.171,6295.108,4412.476,3934.438,4512.064,4462.000,4531.812,4596.192
125,5894.472,5380.709,4312.286,6406.352,4443.381,3909.812,4526.709,4477.731,4551.281,4638.000
126,5975.639,5397.484,4395.857,6491.216,4427.095,3977.812,4540.613,4512.269,4533.188,4712.615
127,6133.833,5445.000,4449.900,6518.000,4438.762,3987.312,4532.613,4577.885,4542.938,4730.269
128,6157.389,5477.774,4527.714,6596.297,4476.333,4038.812,4530.064,4626.769,4549.750,4766.115
129,6225.194,5484.903,4624.143,6632.784,4484.286,4046.062,4527.032,4723.039,4564.094,4761.385
130,6282.750,5524.709,4636.628,6632.729,4516.095,4114.500,4525.903,4757.385,4552.938,4786.346
131,6284.250,5522.709,4714.729,6688.946,4538.476,4090.062,4538.032,4819.039,4558.469,4786.808
