 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
99,4228.500,3959.692,3054.591,3077.333,3887.853,2891.625,4762.833,4384.500,4616.481,4021.381,4188.273,4483.750
100,4224.500,3945.615,3034.159,3110.250,3924.500,2911.125,4763.500,4386.967,4621.442,3980.238,4169.818,4449.000
101,4210.972,3950.115,3037.750,3139.500,3915.147,2880.625,4794.667,4381.700,4616.250,3979.905,4152.273,4447.083
102,4219.861,3942.231,3051.750,3101.333,3907.353,2883.000,4799.333,4360.450,4617.481,3996.952,4154.636,4450.833
103,4232.417,3936.769,3035.614,3122.833,3909.029,2868.500,4712.667,4375.833,4616.461,3982.619,4138.364,4482.417
104,4220.444,3936.500,3044.136,3099.583,3870.971,2901.000,4747.333,4388.283,4616.404,4000.143,4144.455,4415.000
105,4212.222,3938.692,3045.932,3099.750,3903.265,2886.000,4741.000,4381.333,4609.846,3984.381,4138.909,4443.250
106,4228.417,3953.154,3052.455,3109.917,3921.294,2861.000,4770.500,4363.817,4633.635,3991.428,4104.636,4463.083
107,4245.694,3958.615,3063.818,3118.417,3898.647,2885.875,4763.833,4379.583,4607.942,3958.286,4163.091,4479.750
108,4226.389,3958.923,3048.432,3113.833,3916.177,2890.250,4765.667,4372.400,4618.077,3983.810,4125.273,4451.250
109,4204.000,4010.961,3481.477,3077.667,3874.618,3132.250,4763.667,4372.683,4625.731,3997.476,4105.273,4430.917
110,4247.194,4258.039,4620.091,3147.667,3899.588,3720.000,4734.000,4382.750,4601.885,3994.381,4158.364,4459.083
111,4257.139,4695.923,5528.250,3245.333,3900.912,3965.500,4765.000,4392.217,4601.135,4058.333,4189.727,4462.250
112,4224.111,5164.615,6036.523,3327.583,3917.677,3989.125,4814.000,4431.100,4620.519,4077.333,4253.727,4505.250
113,4250.278,5659.000,6325.750,3393.917,3932.765,4052.000,4789.167,4444.250,4615.346,4150.143,4363.364,4490.417
114,4267.444,5976.192,6416.114,3640.667,3977.735,4088.375,4780.333,4497.867,4623.115,4168.952,4379.455,4525.417
115,4298.500,6269.192,6420.568,3943.333,4034.559,4085.625,4795.000,4521.683,4631.885,4219.429,4469.545,4623.000
116,4345.361,6419.885,6491.727,4188.167,4108.794,4092.875,4788.333,4562.033,4639.846,4230.381,4576.636,4633.917
117,4396.750,6607.923,6463.727,4449.583,4180.147,4087.375,4817.333,4590.267,4656.211,4260.286,4620.545,4640.167
118,4498.528,6727.115,6480.295,4791.750,4261.118,4083.625,4784.500,4637.450,4677.269,4262.952,4737.364,4683.000
119,4553.139,6773.808,6478.182,5050.417,4311.853,4130.250,4824.167,4704.400,4712.711,4301.571,4782.636,4730.583
120,4634.444,6849.115,6504.545,5313.417,4380.147,4149.125,4896.167,4745.967,4742.692,4337.000,4824.273,4784.583
121,4763.194,6875.769,6488.705,5564.250,4453.176,4146.000,4892.333,4821.517,4780.404,4365.429,4898.818,4777.500
122,4860.250,6929.423,6474.545,5750.917,4530.029,4095.000,4910.000,4835.667,4832.000,4357.333,4916.909,4819.250
123,4957.250,6921.923,6496.909,5926.833,4585.088,4127.250,5012.167,4926.283,4868.404,4388.762,4952.273,4821.583
124,5054.444,6962.039,6422.114,6069.167,4688.471,4099.125,4994.500,4977.183,4951.192,4376.000,4943.364,4820.583
125,5148.639,6954.846,6392.045,6170.917,4728.059,4152.000,5015.833,5028.417,4957.711,4362.429,4986.909,4870.833
126,5280.861,6976.346,6381.682,6225.250,4781.353,4123.625,5111.333,5109.850,5026.058,4396.714,4981.091,4946.000
127,5358.250,6998.539,6343.614,6240.000,4874.206,4042.625,5105.833,5176.233,5084.385,4393.190,5011.818,4985.250
128,5430.972,6976.961,6420.432,6305.250,4933.882,4105.375,5216.500,5273.467,5128.981,4427.952,5005.727,4995.333
129,5526.917,7007.615,6449.159,6410.250,4989.500,4102.000,5228.833,5311.467,5199.135,4363.190,4996.000,4967.583
130,5646.139,7011.077,6389.068,6401.250,5030.000,4089.250,5361.000,5430.417,5222.519,4456.476,5074.909,5043.250
131,5716.333,6996.077,6364.795,6430.583,5101.500,4096.125,5331.000,5504.583,5284.827,4425.333,5031.909,5057.583
132,5780.639,7017.231,6374.523,6506.667,5128.235,4151.125,5414.833,5573.067,5327.423,4435.333,5035.182,5103.667
133,5852.528,7005.385,6342.500,6519.417,5151.235,4139.750,5522.667,5679.083,5383.865,4408.476,5029.727,5188.917
134,5950.083,7023.308,6325.795,6505.333,5233.471,4110.750,5563.333,5744.667,5421.039,4421.571,5048.636,5269.750
