 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
134,4879.750,6389.211,5704.167,4651.500,8190.400,5739.250,5760.441,5440.250,5740.875,5564.667
135,4962.375,6422.827,5807.722,4640.654,8220.475,5856.972,5785.853,5409.714,5688.094,5580.861
136,4981.297,6430.769,5914.444,4682.961,8227.763,5978.667,5782.971,5433.357,5707.719,5631.667
137,5043.156,6406.289,6009.889,4683.923,8243.750,6085.972,5813.176,5406.679,5690.562,5668.750
138,5036.375,6408.673,6045.028,4735.769,8246.438,6138.111,5802.235,5407.679,5713.656,5662.972
139,5066.562,6408.692,6124.667,4760.461,8257.225,6260.278,5827.206,5479.286,5755.531,5673.194
140,5091.984,6448.289,6184.833,4821.423,8289.662,6330.694,5802.235,5437.750,5735.156,5697.250
141,5092.016,6414.461,6255.472,4841.577,8310.650,6394.806,5833.765,5415.786,5719.844,5729.806
142,5099.469,6414.058,6297.167,4871.000,8356.825,6462.250,5806.118,5429.107,5741.375,5704.389
143,5130.203,6420.885,6343.250,4886.039,8318.800,6505.194,5812.941,5414.357,5674.844,5761.361
144,5115.688,6441.231,6353.944,4948.039,8297.375,6598.944,5805.118,5455.607,5738.969,5784.889
145,5125.016,6422.346,6415.083,4969.308,8257.338,6600.667,5820.059,5457.357,5741.844,5794.111
146,5144.234,6418.635,6447.194,4995.115,8286.912,6661.194,5842.206,5451.357,5727.438,5824.972
147,5151.344,6424.231,6466.972,5067.039,8242.562,6708.528,5818.765,5422.643,5719.000,5836.278
148,5136.125,6430.461,6493.278,5007.961,8262.800,6720.639,5826.324,5446.857,5690.844,5874.083
149,5139.109,6466.808,6530.639,5078.846,8275.525,6781.611,5802.324,5450.357,5714.312,5828.694
150,5142.734,6440.308,6485.500,5111.539,8281.037,6820.861,5846.265,5431.000,5738.812,5875.028
151,5147.875,6444.981,6543.917,5121.346,8261.162,6796.778,5814.294,5421.250,5725.844,5875.333
152,5164.703,6475.961,6546.194,5094.500,8272.787,6894.750,5825.559,5436.036,5705.281,5870.750
153,5157.703,6436.827,6562.417,5113.692,8258.550,6900.417,5870.353,5434.429,5708.906,5913.750
154,5162.016,6456.000,6574.306,5093.923,8222.525,6874.139,5843.735,5424.714,5757.906,5931.194
155,5151.547,6458.019,6575.333,5113.577,8218.725,6888.111,5834.853,5422.714,5691.531,5935.083
156,5171.250,6466.615,6610.472,5119.692,8186.062,6942.444,5857.265,5410.214,5696.375,5918.833
157,5169.750,6464.558,6630.417,5140.192,8220.775,6955.194,5843.529,5434.714,5693.312,5936.056
158,5164.922,6448.769,6626.806,5137.154,8217.438,6937.250,5822.941,5426.357,5739.750,5960.444
159,5142.078,6486.404,6620.194,5152.539,8236.612,6950.722,5827.529,5465.464,5704.438,5962.778
160,5143.125,6444.039,6631.944,5156.885,8178.388,6964.972,5855.176,5436.857,5680.219,5940.667
161,5169.922,6460.827,6647.194,5191.808,8206.900,7017.583,5843.971,5410.536,5712.875,5946.611
162,5184.656,6468.077,6687.639,5211.769,8198.750,6999.889,5821.647,5393.893,5698.469,6033.417
163,5172.031,6444.711,6659.417,5199.731,8214.100,7001.611,5850.382,5422.000,5739.781,5989.139
164,5178.344,6442.404,6654.944,5168.115,8203.688,7031.556,5858.324,5426.036,5713.156,5994.667
165,5188.953,6455.750,6638.333,5177.077,8213.138,7041.944,5859.559,5428.179,5684.625,6030.833
166,5158.906,6440.615,6649.417,5206.539,8202.237,7039.861,5851.588,5442.036,5725.031,5985.444
167,5172.812,6451.250,6655.417,5194.077,8229.862,7058.278,5863.176,5442.214,5703.125,6032.694
