 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
134,6552.767,5028.308,6524.000,6724.444,5715.932,5100.129,6700.714,5355.229,4528.431,5167.476
135,6535.589,5036.423,6534.648,6724.917,5755.659,5106.613,6686.464,5379.729,4548.510,5188.905
136,6527.089,5051.923,6521.946,6710.333,5757.659,5151.419,6700.500,5394.729,4575.235,5158.310
137,6540.475,5073.615,6515.838,6749.097,5786.091,5165.161,6739.464,5409.958,4587.373,5188.548
138,6540.119,5090.308,6540.433,6747.819,5790.477,5126.839,6744.571,5453.167,4625.490,5197.714
139,6544.623,5120.654,6555.054,6726.486,5790.318,5163.936,6736.893,5446.167,4658.137,5185.905
140,6543.691,5108.731,6556.297,6754.125,5775.545,5159.839,6768.929,5446.750,4669.588,5208.071
141,6541.860,5086.808,6572.108,6751.778,5790.568,5133.807,6797.143,5464.500,4679.510,5227.357
142,6526.602,5131.577,6482.676,6737.153,5811.659,5167.161,6792.893,5465.062,4704.627,5189.619
143,6525.763,5104.539,6549.514,6758.597,5838.932,5161.064,6793.179,5492.708,4730.098,5203.738
144,6528.288,5119.231,6608.838,6769.986,5788.068,5171.871,6812.143,5483.292,4762.431,5208.405
145,6544.271,5094.154,6574.784,6764.236,5808.773,5173.129,6799.107,5498.000,4762.686,5223.190
146,6533.530,5119.231,6569.622,6750.903,5802.341,5211.323,6838.250,5520.188,4796.353,5255.714
147,6531.763,5119.769,6563.729,6764.097,5807.159,5167.613,6794.429,5518.417,4789.765,5236.524
148,6525.598,5123.615,6528.892,6751.417,5837.318,5216.032,6829.536,5505.375,4796.431,5208.048
149,6535.746,5128.308,6601.622,6762.389,5793.364,5181.032,6820.321,5536.958,4815.608,5229.167
150,6524.348,5139.961,6565.946,6738.569,5823.705,5188.645,6863.286,5536.229,4846.490,5223.381
151,6516.758,5147.154,6563.595,6744.056,5844.977,5183.000,6822.464,5538.646,4841.235,5228.929
