 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6
342,6719.533,4991.074,7021.281,8627.026,5612.500,6818.365
343,6746.150,4974.309,7018.453,8654.167,5614.500,6828.729
344,6730.817,4976.162,7024.938,8607.609,5599.288,6792.784
345,6721.983,4952.294,7009.917,8615.651,5626.250,6805.196
346,6731.617,4972.353,6999.662,8627.692,5609.712,6831.723
347,6678.550,4979.382,6997.568,8587.864,5586.175,6786.317
348,6707.900,4986.221,7003.120,8588.901,5599.700,6786.933
349,6707.300,4982.897,6992.932,8580.797,5604.700,6822.689
350,6714.100,4952.059,6984.484,8598.021,5617.212,6809.466
351,6720.900,4969.897,6995.135,8572.781,5583.475,6798.203
352,6715.317,4960.044,6968.047,8605.933,5587.600,6828.128
353,6706.050,4971.118,6982.005,8581.229,5607.737,6791.209
354,6678.483,4973.882,6985.953,8567.578,5571.688,6782.602
355,6727.533,4964.853,6984.312,8554.854,5591.638,6787.865
356,6683.733,4950.250,6990.474,8556.761,5589.925,6813.608
357,6701.683,4972.000,6967.135,8556.344,5594.975,6768.608
358,6673.650,4964.412,6990.354,8556.292,5586.038,6799.872
359,6685.533,4965.794,6967.542,8562.317,5598.388,6784.831
360,6671.967,4964.103,6953.963,8550.620,5599.938,6789.689
361,6672.033,4947.000,6963.224,8525.984,5554.300,6777.831
362,6653.133,4943.971,6965.000,8561.078,5578.513,6793.574
363,6685.317,4956.853,6961.463,8528.589,5566.562,6769.108
364,6689.967,4956.368,6959.875,8538.734,5562.800,6771.115
365,6681.767,4940.647,6953.938,8517.411,5579.200,6742.378
366,6663.400,4945.294,6964.203,8497.547,5562.275,6762.412
367,6667.267,4965.000,6945.010,8525.646,5582.175,6757.148
368,6654.250,4955.676,6937.562,8502.489,5574.763,6783.527
369,6659.333,4975.588,6945.406,8528.411,5579.700,6737.561
370,6655.317,4941.279,6941.037,8510.302,5587.300,6744.142
371,6621.850,4961.088,6951.141,8477.729,5563.250,6756.433
372,6636.483,4954.485,6941.396,8516.354,5574.300,6740.933
373,6651.700,4934.206,6931.344,8489.255,5541.425,6749.669
374,6633.450,4958.853,6931.849,8502.198,5566.913,6767.264
375,6648.900,4943.324,6926.922,8502.344,5566.350,6743.148
376,6640.367,4945.324,6940.229,8456.089,5541.550,6711.479
377,6649.983,4937.147,6934.391,8488.250,5570.712,6754.108
378,6660.850,4967.765,6937.734,8470.005,5556.513,6749.595
379,6623.367,4951.882,6933.677,8476.250,5570.388,6743.743
380,6631.533,4944.471,6920.396,8477.719,5566.075,6745.757
381,6630.467,4924.956,6913.943,8475.604,5542.225,6744.892
382,6629.350,4962.397,6899.948,8468.620,5540.525,6726.433
383,6630.800,4935.912,6911.828,8461.458,5544.425,6760.750
384,6615.533,4954.603,6908.615,8461.203,5536.650,6726.135
385,6599.583,4945.044,6921.406,8440.031,5564.138,6729.385
386,6615.967,4936.088,6897.307,8435.370,5551.413,6731.304
387,6624.767,4933.426,6895.537,8448.286,5556.413,6710.521
388,6616.767,4934.191,6896.552,8404.276,5514.688,6705.148
389,6616.817,4927.735,6917.875,8461.146,5542.388,6707.574
390,6611.850,4934.324,6898.385,8460.484,5544.900,6703.433
391,6608.300,4935.912,6904.094,8433.500,5540.875,6718.892
392,6655.167,4926.074,6896.370,8446.031,5522.525,6708.892
393,6585.900,4916.721,6905.104,8413.771,5530.212,6734.507
394,6595.717,4943.382,6897.635,8425.984,5534.800,6715.865
395,6597.483,4925.441,6898.078,8447.692,5548.888,6723.223
396,6598.533,4927.515,6902.344,8412.396,5511.013,6706.162
397,6544.417,4938.529,6902.203,8414.167,5516.263,6685.297
398,6586.133,4929.294,6876.370,8384.469,5517.438,6688.602
399,6584.033,4938.971,6886.990,8428.942,5534.425,6716.683
400,6616.450,4947.353,6883.083,8397.599,5515.587,6712.797
401,6559.350,4927.206,6889.708,8414.417,5551.775,6698.358
402,6570.433,4931.265,6880.682,8381.620,5530.388,6690.723
403,6587.083,4929.765,6880.521,8361.922,5507.413,6700.412
404,6593.817,4932.971,6885.359,8404.536,5522.775,6697.622
405,6579.333,4957.588,6878.963,8397.297,5522.263,6691.162
406,6579.633,4927.662,6865.500,8387.109,5523.850,6684.027
407,6571.267,4934.574,6862.156,8375.401,5523.788,6678.365
408,6581.783,4922.853,6889.703,8377.661,5534.850,6690.081
409,6550.267,4960.162,6858.307,8353.875,5516.237,6686.595
410,6574.450,4923.279,6855.495,8358.833,5533.825,6691.777
411,6551.067,4914.912,6862.713,8378.812,5531.400,6705.628
412,6555.217,4915.309,6856.266,8362.984,5518.212,6718.433
413,6559.550,4917.162,6870.448,8361.511,5510.737,6688.169
414,6572.967,4923.765,6865.688,8370.328,5521.450,6688.128
415,6557.483,4912.074,6843.432,8327.255,5505.487,6693.352
416,6576.717,4926.059,6854.073,8354.558,5516.200,6684.304
417,6543.867,4925.662,6848.078,8312.870,5511.538,6680.021
418,6567.150,4913.971,6859.422,8326.214,5529.225,6669.872
419,6559.200,4903.118,6847.208,8312.203,5511.837,6682.892
420,6566.633,4928.603,6851.234,8321.354,5500.600,6674.439
421,6549.467,4922.779,6836.969,8312.526,5519.013,6690.054
422,6556.017,4930.412,6840.776,8353.359,5501.775,6667.412
423,6540.117,4912.412,6840.912,8319.141,5510.413,6678.223
424,6532.150,4934.882,6839.000,8308.500,5508.625,6671.912
425,6569.067,4919.191,6833.573,8303.245,5494.725,6668.405
426,6547.567,4902.500,6843.781,8329.062,5492.525,6680.271
427,6539.683,4933.559,6833.630,8296.422,5502.038,6653.757
428,6534.767,4928.353,6828.651,8276.214,5487.837,6641.176
429,6548.033,4900.412,6828.604,8276.938,5488.763,6668.358
430,6518.833,4916.074,6822.552,8285.771,5468.062,6664.061
431,6484.933,4921.603,6814.198,8286.401,5484.688,6668.102
432,6519.533,4908.000,6830.078,8275.536,5520.475,6678.169
433,6504.217,4922.000,6814.646,8270.114,5491.038,6645.939
