 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
85,2775.064,3140.507,3373.583,4102.569,3622.086,3957.543,4068.381,4313.281,4002.712,4009.521,4129.803,4541.054,4338.116
86,2771.734,3145.246,3364.417,4103.118,3636.606,3967.271,4071.940,4321.055,4014.212,3989.375,4104.524,4548.036,4314.551
87,2773.323,3146.348,3374.917,4092.922,3613.481,3953.814,4081.190,4306.459,4000.688,3991.771,4112.049,4536.500,4352.855
88,2778.500,3131.435,3387.750,4107.392,3616.923,3961.514,4070.631,4307.021,3989.887,4005.083,4116.410,4541.884,4326.087
89,2780.686,3129.043,3394.933,4114.863,3625.346,3955.714,4080.690,4314.356,3996.550,3982.677,4113.344,4522.357,4340.812
90,2780.782,3122.073,3395.050,4115.686,3634.702,3950.443,4075.798,4307.089,3998.600,4006.094,4115.164,4540.679,4345.522
91,2771.298,3124.507,3401.183,4093.471,3622.029,3932.457,4076.226,4313.178,3995.637,4015.781,4120.442,4534.669,4341.478
92,2782.823,3136.043,3381.283,4092.745,3622.327,3945.757,4056.250,4321.363,4009.150,4007.479,4130.869,4544.081,4341.072
93,2781.992,3133.102,3386.267,4092.647,3621.125,3959.514,4078.250,4314.144,4001.650,4006.042,4103.574,4531.723,4344.942
94,2774.702,3145.754,3389.033,4103.274,3609.289,3945.443,4068.048,4302.589,4012.637,4018.896,4101.492,4535.081,4332.478
95,2771.444,3134.913,3384.450,4110.471,3625.096,3947.986,4065.774,4305.781,4004.663,4004.812,4110.983,4529.794,4326.377
96,2787.177,3149.710,3396.100,4095.294,3613.606,3937.514,4077.226,4313.603,3996.625,4015.406,4100.442,4540.839,4331.015
97,2774.927,3120.594,3379.133,4098.471,3610.875,3958.700,4058.357,4322.959,4006.175,4006.177,4117.459,4531.321,4337.072
98,2767.686,3135.188,3371.333,4094.627,3625.164,3954.400,4066.917,4306.863,4011.387,4003.990,4083.721,4545.098,4335.261
99,2782.040,3133.739,3385.683,4074.745,3618.067,3969.900,4062.786,4327.301,3998.488,3993.698,4109.754,4534.831,4331.898
100,2768.153,3120.594,3379.700,4101.059,3618.250,3956.829,4080.036,4306.562,3985.875,4005.042,4104.787,4532.768,4326.203
101,2780.282,3137.536,3376.567,4101.961,3628.154,3953.614,4070.476,4314.240,4016.962,3984.823,4104.803,4533.241,4344.855
102,2774.927,3135.203,3387.083,4093.412,3625.260,3961.957,4063.964,4304.548,3988.575,3981.000,4102.738,4527.456,4339.783
