 ,Mean1,Mean2,Mean3,Mean4,Mean5
332,3755.000,3768.125,4272.500,3064.250,3403.500
333,3829.625,3719.875,4277.125,3092.500,3397.600
334,3776.750,3703.000,4309.125,3061.500,3433.300
335,3747.250,3712.062,4255.000,3088.500,3390.400
336,3816.625,3792.812,4293.875,3033.750,3408.700
337,3796.125,3807.438,4259.250,3090.750,3419.000
338,3799.750,3774.375,4253.250,3136.250,3414.500
339,3787.000,3823.250,4302.750,3092.000,3411.500
340,3802.250,3801.000,4228.500,3147.500,3455.800
341,3765.500,3798.250,4292.125,3126.250,3399.100
342,3809.625,3811.375,4271.875,3135.500,3398.200
343,3809.375,3789.938,4322.625,3144.250,3464.300
344,3806.125,3775.500,4271.375,3107.250,3401.700
345,3801.250,3807.062,4224.500,3155.000,3437.700
346,3788.000,3859.500,4269.375,3155.750,3394.600
347,3782.500,3819.812,4203.375,3078.000,3395.100
348,3810.375,3852.500,4270.875,3081.000,3395.900
349,3823.500,3855.562,4201.250,3097.250,3444.000
350,3762.750,3846.938,4271.000,3106.000,3455.100
351,3761.750,3880.375,4243.125,3039.000,3394.500
352,3772.875,3893.188,4232.000,3140.500,3456.100
353,3806.375,3854.375,4233.875,3060.750,3424.200
354,3751.250,3827.250,4263.500,3055.750,3424.500
355,3776.625,3843.875,4195.125,3108.750,3387.800
356,3754.750,3853.250,4271.500,3131.250,3413.900
357,3785.500,3859.438,4285.000,3116.250,3376.400
358,3797.625,3852.000,4217.125,3120.000,3421.700
359,3770.875,3834.375,4239.000,3057.000,3434.800
360,3749.750,3831.500,4204.625,3096.500,3404.500
361,3717.000,3820.000,4246.750,3095.500,3380.100
362,3795.500,3836.750,4259.375,3082.000,3393.300
363,3766.125,3795.438,4200.625,3090.500,3406.000
364,3772.125,3857.188,4153.250,3107.750,3440.800
365,3742.625,3846.000,4214.750,3083.250,3458.700
366,3765.500,3886.250,4169.375,3088.250,3418.100
367,3798.875,3893.062,4212.000,3113.750,3430.800
368,3746.500,3888.438,4211.125,3052.000,3404.600
369,3790.000,3857.188,4229.625,3126.500,3405.800
370,3793.875,3861.688,4180.875,3150.500,3418.300
371,3761.375,3832.562,4285.375,3114.750,3422.900
372,3796.625,3893.375,4178.000,3091.500,3432.400
373,3766.500,3881.000,4241.250,3092.250,3400.800
374,3815.125,3857.375,4171.000,3118.250,3425.000
375,3780.625,3848.250,4245.125,3076.500,3416.700
376,3779.250,3820.750,4203.750,3094.750,3414.600
377,3780.625,3848.625,4235.875,3067.500,3427.100
378,3722.625,3838.250,4229.125,3161.250,3409.900
379,3806.125,3834.312,4201.250,3148.000,3384.500
380,3773.375,3845.250,4167.125,3090.500,3432.100
381,3720.625,3805.125,4238.375,3049.500,3443.100
382,3739.250,3819.562,4199.125,3098.000,3422.200
383,3754.125,3824.688,4197.000,3105.000,3403.300
384,3733.125,3799.500,4160.375,3100.000,3380.300
385,3759.125,3778.688,4183.750,3060.000,3395.900
386,3787.750,3760.500,4230.250,3101.750,3431.300
387,3751.000,3809.312,4193.625,3013.250,3388.100
388,3794.750,3743.250,4198.625,3069.250,3417.800
389,3772.500,3787.562,4138.125,3083.250,3394.800
390,3771.000,3810.438,4133.750,3108.750,3408.900
391,3777.750,3756.312,4206.750,3109.000,3370.200
392,3738.625,3777.000,4161.625,3110.250,3393.400
393,3755.125,3760.375,4182.000,3099.000,3415.600
394,3764.125,3750.125,4166.250,3051.750,3447.600
395,3774.250,3746.688,4194.250,3080.750,3395.700
396,3741.500,3756.438,4172.500,3104.250,3354.800
397,3772.125,3776.812,4170.625,3109.500,3402.600
398,3769.500,3758.812,4189.375,3102.000,3384.300
399,3756.500,3738.500,4201.375,3041.000,3460.700
400,3751.875,3732.188,4120.000,3080.500,3396.400
401,3730.000,3735.000,4167.625,3119.000,3380.300
402,3750.250,3752.688,4162.000,3006.750,3377.900
403,3752.750,3733.000,4114.625,3091.250,3381.300
404,3765.125,3741.062,4165.625,3102.250,3378.800
405,3813.125,3706.125,4162.625,3111.250,3377.100
406,3752.500,3726.812,4205.500,3021.250,3378.900
407,3761.500,3690.250,4158.000,3044.500,3398.200
408,3768.375,3709.750,4149.000,3076.000,3364.800
409,3740.125,3723.875,4092.125,3072.750,3369.800
410,3774.875,3725.938,4210.250,3101.000,3403.500
411,3758.375,3722.188,4084.500,3050.500,3418.700
412,3770.875,3693.312,4102.000,3077.750,3352.200
413,3797.625,3702.062,4158.500,3044.000,3404.700
414,3810.000,3696.188,4198.875,3086.750,3386.100
415,3783.750,3723.625,4129.125,3086.500,3403.700
416,3755.750,3760.062,4171.000,3081.250,3407.200
417,3729.000,3753.562,4207.750,3118.500,3346.800
418,3787.000,3773.188,4130.750,3086.750,3402.700
419,3730.625,3777.375,4164.000,3112.500,3340.900
420,3775.625,3757.188,4137.500,3085.000,3364.100
421,3829.375,3759.812,4135.875,3090.000,3415.900
422,3720.000,3737.375,4155.125,3037.250,3440.100
423,3761.000,3768.125,4157.875,3040.000,3381.300
424,3766.375,3772.375,4130.625,3129.000,3351.600
425,3780.125,3740.062,4160.375,3076.500,3385.500
426,3683.250,3749.750,4070.125,3123.250,3381.100
427,3752.000,3780.812,4135.125,3020.750,3401.800
