 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
64,4461.789,4380.208,4496.781,4378.250,3774.231,3929.812,3161.353,3029.667,4325.676,4629.613,4521.500,4824.361,2996.381,3365.136,4276.471,4006.857
65,4463.654,4358.500,4492.375,4330.083,3783.346,3915.438,3173.588,3049.000,4317.919,4609.581,4508.539,4809.098,2984.738,3355.909,4251.794,3994.143
66,4470.750,4386.458,4498.750,4365.417,3763.654,3916.812,3174.471,3048.000,4319.946,4630.613,4568.923,4824.361,2983.333,3362.205,4282.588,3970.286
67,4451.961,4370.708,4471.875,4365.917,3806.923,3883.312,3174.147,3122.333,4353.243,4607.032,4570.808,4834.147,2987.024,3377.432,4284.235,3996.524
68,4454.096,4373.750,4472.219,4382.083,3788.808,3891.938,3177.235,3056.333,4345.271,4606.323,4579.500,4831.508,2993.143,3374.750,4253.176,3995.762
69,4457.481,4381.542,4510.750,4358.083,3763.961,3890.625,3157.912,3095.667,4339.622,4612.032,4523.961,4812.180,2993.452,3366.455,4270.088,3977.952
70,4450.789,4395.583,4474.406,4374.000,3783.461,3902.938,3159.412,3036.000,4317.865,4631.774,4545.846,4820.131,3006.595,3362.159,4264.059,3994.000
71,4436.923,4344.250,4486.875,4385.667,3800.154,3913.000,3150.412,3105.333,4346.297,4622.871,4537.769,4812.524,2988.357,3355.818,4271.324,3988.905
72,4454.096,4386.500,4483.562,4377.417,3788.077,3879.625,3167.353,3066.333,4335.135,4614.097,4573.385,4868.869,2990.810,3354.159,4301.500,3996.143
73,4460.577,4360.625,4487.062,4366.500,3773.846,3879.000,3180.618,3039.333,4362.919,4618.807,4560.846,4871.115,2992.928,3352.750,4240.912,3936.810
74,4461.250,4354.333,4483.219,4400.250,3779.500,3888.688,3156.500,3100.667,4342.648,4594.064,4556.731,4846.639,2984.524,3359.205,4249.147,3988.428
75,4455.981,4385.542,4490.469,4327.167,3776.923,3888.312,3166.647,3034.667,4337.459,4601.419,4524.731,4845.524,2992.405,3362.364,4275.412,3989.333
76,4442.173,4354.000,4460.031,4354.833,3786.154,3887.062,3138.912,3055.000,4335.162,4616.452,4539.077,4852.672,2979.667,3367.909,4271.176,3992.810
77,4452.019,4379.667,4467.250,4383.583,3753.077,3931.062,3162.706,3066.667,4327.784,4607.387,4519.154,4842.787,2987.143,3353.705,4241.588,3997.952
78,4440.711,4354.167,4474.375,4358.667,3771.539,3910.375,3163.471,3029.333,4314.352,4631.226,4522.423,4821.098,2971.928,3377.318,4275.235,4006.000
79,4460.019,4384.375,4488.281,4374.333,3766.115,3898.375,3153.441,3020.667,4332.216,4597.226,4533.192,4843.623,2988.714,3358.227,4292.529,3969.000
