 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11
132,6003.257,6991.360,4852.417,6085.188,5604.098,6774.909,10608.917,12027.838,7754.750,7661.469,7237.000
133,6003.186,6984.320,4932.850,6170.775,5631.508,6819.636,10916.417,12003.622,7764.688,7593.469,7236.267
134,6054.657,7017.813,4983.633,6222.737,5646.115,6848.364,11041.167,12004.108,7771.125,7645.781,7267.480
135,6057.157,7001.267,4996.583,6236.225,5660.442,6774.000,11230.000,12021.784,7720.188,7625.969,7281.533
136,6028.786,6982.613,5100.033,6292.925,5706.328,6854.545,11424.000,12031.352,7724.875,7591.844,7321.586
137,6040.729,7001.827,5154.350,6306.750,5722.705,6872.818,11680.750,12097.514,7741.562,7513.406,7338.747
138,6076.171,6978.067,5169.217,6362.362,5750.590,6825.455,11892.250,12039.352,7784.125,7535.719,7316.680
139,6105.343,7013.813,5210.300,6382.675,5752.967,6844.818,11976.750,11999.189,7703.688,7484.812,7345.093
140,6108.957,6995.400,5217.150,6417.825,5769.902,6877.545,12150.667,11968.676,7740.062,7509.594,7351.293
141,6077.529,7023.027,5259.300,6402.788,5791.869,6903.091,12297.750,11980.865,7790.562,7430.812,7344.493
142,6103.757,7007.320,5236.450,6451.663,5803.476,6935.909,12320.500,11971.243,7769.812,7449.375,7339.867
143,6116.214,7023.080,5267.267,6461.950,5820.295,6914.727,12489.167,12038.324,7803.750,7448.500,7330.626
144,6109.771,7004.187,5265.417,6484.225,5817.213,6862.818,12435.167,12000.811,7808.562,7454.188,7348.387
145,6125.786,6998.374,5295.200,6496.400,5812.508,6900.545,12552.000,11955.729,7779.250,7372.156,7382.120
146,6167.000,7008.827,5284.967,6515.650,5876.902,6871.727,12517.000,11974.648,7754.875,7357.719,7378.080
147,6149.571,7025.440,5317.400,6564.888,5830.688,6901.364,12574.333,12054.243,7826.625,7278.438,7373.293
148,6159.700,7020.760,5294.917,6549.775,5847.558,6822.000,12615.667,11989.973,7771.188,7307.188,7359.880
149,6159.900,7006.440,5283.733,6566.575,5844.738,6864.455,12617.167,12002.865,7692.688,7310.531,7370.387
150,6149.529,7005.440,5302.283,6609.975,5886.672,6901.545,12749.917,11948.648,7758.125,7304.719,7347.493
151,6161.971,6997.907,5296.917,6656.812,5851.902,6936.091,12810.667,11991.027,7760.125,7274.531,7329.507
152,6149.128,7023.680,5336.250,6691.312,5838.082,6837.818,12745.667,11963.135,7757.312,7312.594,7347.547
153,6148.829,7006.693,5322.917,6703.000,5848.639,6816.636,12758.167,11927.865,7771.750,7272.469,7327.613
154,6166.643,7021.573,5317.967,6730.163,5884.541,6810.727,12647.333,11951.054,7726.312,7236.375,7332.347
155,6147.886,7024.106,5285.983,6746.038,5854.902,6833.727,12752.083,11960.541,7793.312,7233.250,7316.347
